case_id,dtype,optimizer,path,status,cli_optimizer,optimizer_key,optimizer_name,optimizer_class,optimizer_source,steps_completed,first_step_sec,median_step_sec,tok_sec,step_sec,compile_time_s,peak_memory_gb,active_memory_gb,cache_memory_gb,cache_hit,selected_schedule,proof_result,pass_fail_reason,cppmega_sha,tilelang_sha,mlx_sha,mlx_version,command,receipt_path,returncode,duration_s
bf16_adam8bit_path_b,bf16,adam8bit,path_b,ok,adam8bit,adam8bit,Adam8bit,cppmega_mlx.training.optimizers_quantized.Adam8bit,cppmega_mlx.training.optimizers_quantized.make_adam8bit,20,2.2165164170000935,2.042091084003914,1007.4546663325275,2.0241177302117364,2.2165164170000935,21.04449712112546,6.897972360253334,31.87286845035851,,"{""kernel_counts"": {""metal_kernel_fwd_v1"": 160}, ""op_kernel"": {""m2rnn"": ""metal_kernel_fwd_v1"", ""mamba3_mimo"": ""metal_kernel_fwd_v1""}, ""path_counts"": {""path_b"": 160}}","{""fp8_path_c_route_status"": ""not_requested"", ""kernel_surface_available"": true, ""path"": ""path_b"", ""path_c_requested"": false, ""proof_source"": ""per-kernel TileLang route receipts plus runtime dispatch log""}",ok,af7ca0e,6b87598b,d168ca5ca,0.32.0.dev20260514+d168ca5ca,/Volumes/external/sources/nanochat/.venv/bin/python scripts/m04_train_step.py --model-profile local_gb10_quarter --data-path data/parquet_samples/gb10/clang_semantic_4k_v10/val_00000.parquet --data-format parquet --token-key token_ids --steps 20 --batch-size 1 --seq-len 2048 --dtype bfloat16 --optimizer adam8bit --optimizer-quant-scheme dynamic_int8_v1 --lr 1e-4 --grad-checkpoint --output /Users/dave/sources/cppmega.mlx/reports/profiling/venv_fixed_8bit_matrix_cells/bf16_adam8bit_path_b.json --json,/Users/dave/sources/cppmega.mlx/reports/profiling/venv_fixed_8bit_matrix_cells/bf16_adam8bit_path_b.json,0,98.50186912500067
bf16_adam8bit_path_c_cold,bf16,adam8bit,path_c_cold,ok,adam8bit,adam8bit,Adam8bit,cppmega_mlx.training.optimizers_quantized.Adam8bit,cppmega_mlx.training.optimizers_quantized.make_adam8bit,20,23.511268250003923,2.9039912079897476,673.9687226053784,2.904790089842496,23.511268250003923,23.569203712046146,6.897862434387207,0.0,False,"{""kernel_counts"": {""path_c_tilelang_dsl_fwd_path_b_bwd"": 120, ""path_c_tilelang_dsl_packed_post"": 40}, ""op_kernel"": {""m2rnn"": ""path_c_tilelang_dsl_packed_post"", ""mamba3_mimo"": ""path_c_tilelang_dsl_fwd_path_b_bwd""}, ""path_counts"": {""path_c"": 160}}","{""fp8_path_c_route_status"": ""not_requested"", ""kernel_surface_available"": true, ""path"": ""path_c_cold"", ""path_c_requested"": true, ""proof_source"": ""per-kernel TileLang route receipts plus runtime dispatch log""}",ok,af7ca0e,6b87598b,d168ca5ca,0.32.0.dev20260514+d168ca5ca,/Volumes/external/sources/nanochat/.venv/bin/python scripts/m04_train_step.py --model-profile local_gb10_quarter --data-path data/parquet_samples/gb10/clang_semantic_4k_v10/val_00000.parquet --data-format parquet --token-key token_ids --steps 20 --batch-size 1 --seq-len 2048 --dtype bfloat16 --optimizer adam8bit --optimizer-quant-scheme dynamic_int8_v1 --lr 1e-4 --grad-checkpoint --output /Users/dave/sources/cppmega.mlx/reports/profiling/venv_fixed_8bit_matrix_cells/bf16_adam8bit_path_c_cold.json --json,/Users/dave/sources/cppmega.mlx/reports/profiling/venv_fixed_8bit_matrix_cells/bf16_adam8bit_path_c_cold.json,0,136.10565333299746
bf16_adam8bit_path_c_warm,bf16,adam8bit,path_c_warm,ok,adam8bit,adam8bit,Adam8bit,cppmega_mlx.training.optimizers_quantized.Adam8bit,cppmega_mlx.training.optimizers_quantized.make_adam8bit,20,11.593651750008576,2.9119004999956815,678.0998685240746,2.9060767302641914,11.593651750008576,23.569203712046146,6.897862434387207,0.0,True,"{""kernel_counts"": {""path_c_tilelang_dsl_fwd_path_b_bwd"": 120, ""path_c_tilelang_dsl_packed_post"": 40}, ""op_kernel"": {""m2rnn"": ""path_c_tilelang_dsl_packed_post"", ""mamba3_mimo"": ""path_c_tilelang_dsl_fwd_path_b_bwd""}, ""path_counts"": {""path_c"": 160}}","{""fp8_path_c_route_status"": ""not_requested"", ""kernel_surface_available"": true, ""path"": ""path_c_warm"", ""path_c_requested"": true, ""proof_source"": ""per-kernel TileLang route receipts plus runtime dispatch log""}",ok,af7ca0e,6b87598b,d168ca5ca,0.32.0.dev20260514+d168ca5ca,/Volumes/external/sources/nanochat/.venv/bin/python scripts/m04_train_step.py --model-profile local_gb10_quarter --data-path data/parquet_samples/gb10/clang_semantic_4k_v10/val_00000.parquet --data-format parquet --token-key token_ids --steps 20 --batch-size 1 --seq-len 2048 --dtype bfloat16 --optimizer adam8bit --optimizer-quant-scheme dynamic_int8_v1 --lr 1e-4 --grad-checkpoint --output /Users/dave/sources/cppmega.mlx/reports/profiling/venv_fixed_8bit_matrix_cells/bf16_adam8bit_path_c_warm.json --json,/Users/dave/sources/cppmega.mlx/reports/profiling/venv_fixed_8bit_matrix_cells/bf16_adam8bit_path_c_warm.json,0,126.21108387499407
bf16_lion8bit_path_b,bf16,lion8bit,path_b,ok,lion8bit,lion8bit,Lion8bit,cppmega_mlx.training.optimizers_quantized.Lion8bit,cppmega_mlx.training.optimizers_quantized.make_lion8bit,20,2.1758299590001116,2.021956124997814,1011.4280904569987,2.0175453157908603,2.1758299590001116,19.268484942615032,5.157878050580621,31.26641882956028,,"{""kernel_counts"": {""metal_kernel_fwd_v1"": 160}, ""op_kernel"": {""m2rnn"": ""metal_kernel_fwd_v1"", ""mamba3_mimo"": ""metal_kernel_fwd_v1""}, ""path_counts"": {""path_b"": 160}}","{""fp8_path_c_route_status"": ""not_requested"", ""kernel_surface_available"": true, ""path"": ""path_b"", ""path_c_requested"": false, ""proof_source"": ""per-kernel TileLang route receipts plus runtime dispatch log""}",ok,af7ca0e,6b87598b,d168ca5ca,0.32.0.dev20260514+d168ca5ca,/Volumes/external/sources/nanochat/.venv/bin/python scripts/m04_train_step.py --model-profile local_gb10_quarter --data-path data/parquet_samples/gb10/clang_semantic_4k_v10/val_00000.parquet --data-format parquet --token-key token_ids --steps 20 --batch-size 1 --seq-len 2048 --dtype bfloat16 --optimizer lion8bit --optimizer-quant-scheme dynamic_int8_v1 --lr 1e-4 --grad-checkpoint --output /Users/dave/sources/cppmega.mlx/reports/profiling/venv_fixed_8bit_matrix_cells/bf16_lion8bit_path_b.json --json,/Users/dave/sources/cppmega.mlx/reports/profiling/venv_fixed_8bit_matrix_cells/bf16_lion8bit_path_b.json,0,100.37069929100107
bf16_lion8bit_path_c_cold,bf16,lion8bit,path_c_cold,ok,lion8bit,lion8bit,Lion8bit,cppmega_mlx.training.optimizers_quantized.Lion8bit,cppmega_mlx.training.optimizers_quantized.make_lion8bit,20,23.972008292010287,2.9229205419978825,668.3563123040822,2.929475903578446,23.972008292010287,21.829120023176074,5.157778745517135,0.0,False,"{""kernel_counts"": {""path_c_tilelang_dsl_fwd_path_b_bwd"": 120, ""path_c_tilelang_dsl_packed_post"": 40}, ""op_kernel"": {""m2rnn"": ""path_c_tilelang_dsl_packed_post"", ""mamba3_mimo"": ""path_c_tilelang_dsl_fwd_path_b_bwd""}, ""path_counts"": {""path_c"": 160}}","{""fp8_path_c_route_status"": ""not_requested"", ""kernel_surface_available"": true, ""path"": ""path_c_cold"", ""path_c_requested"": true, ""proof_source"": ""per-kernel TileLang route receipts plus runtime dispatch log""}",ok,af7ca0e,6b87598b,d168ca5ca,0.32.0.dev20260514+d168ca5ca,/Volumes/external/sources/nanochat/.venv/bin/python scripts/m04_train_step.py --model-profile local_gb10_quarter --data-path data/parquet_samples/gb10/clang_semantic_4k_v10/val_00000.parquet --data-format parquet --token-key token_ids --steps 20 --batch-size 1 --seq-len 2048 --dtype bfloat16 --optimizer lion8bit --optimizer-quant-scheme dynamic_int8_v1 --lr 1e-4 --grad-checkpoint --output /Users/dave/sources/cppmega.mlx/reports/profiling/venv_fixed_8bit_matrix_cells/bf16_lion8bit_path_c_cold.json --json,/Users/dave/sources/cppmega.mlx/reports/profiling/venv_fixed_8bit_matrix_cells/bf16_lion8bit_path_c_cold.json,0,139.91033516600146
bf16_lion8bit_path_c_warm,bf16,lion8bit,path_c_warm,ok,lion8bit,lion8bit,Lion8bit,cppmega_mlx.training.optimizers_quantized.Lion8bit,cppmega_mlx.training.optimizers_quantized.make_lion8bit,20,11.58341212500818,2.9743337920081103,664.5852618916779,2.9660316820518347,11.58341212500818,21.829120023176074,5.157778745517135,0.0,True,"{""kernel_counts"": {""path_c_tilelang_dsl_fwd_path_b_bwd"": 120, ""path_c_tilelang_dsl_packed_post"": 40}, ""op_kernel"": {""m2rnn"": ""path_c_tilelang_dsl_packed_post"", ""mamba3_mimo"": ""path_c_tilelang_dsl_fwd_path_b_bwd""}, ""path_counts"": {""path_c"": 160}}","{""fp8_path_c_route_status"": ""not_requested"", ""kernel_surface_available"": true, ""path"": ""path_c_warm"", ""path_c_requested"": true, ""proof_source"": ""per-kernel TileLang route receipts plus runtime dispatch log""}",ok,af7ca0e,6b87598b,d168ca5ca,0.32.0.dev20260514+d168ca5ca,/Volumes/external/sources/nanochat/.venv/bin/python scripts/m04_train_step.py --model-profile local_gb10_quarter --data-path data/parquet_samples/gb10/clang_semantic_4k_v10/val_00000.parquet --data-format parquet --token-key token_ids --steps 20 --batch-size 1 --seq-len 2048 --dtype bfloat16 --optimizer lion8bit --optimizer-quant-scheme dynamic_int8_v1 --lr 1e-4 --grad-checkpoint --output /Users/dave/sources/cppmega.mlx/reports/profiling/venv_fixed_8bit_matrix_cells/bf16_lion8bit_path_c_warm.json --json,/Users/dave/sources/cppmega.mlx/reports/profiling/venv_fixed_8bit_matrix_cells/bf16_lion8bit_path_c_warm.json,0,127.73456995900779
fp8_adam8bit_path_b,fp8,adam8bit,path_b,ok,adam8bit,adam8bit,Adam8bit,cppmega_mlx.training.optimizers_quantized.Adam8bit,cppmega_mlx.training.optimizers_quantized.make_adam8bit,20,2.337338917001034,2.428372207999928,845.2592152485937,2.42766590336932,2.337338917001034,21.914258068427444,6.8981248289346695,35.635877288877964,,"{""kernel_counts"": {""metal_kernel_fwd_v1"": 146, ""sparse_mla_fp8_reference_path_b"": 110}, ""op_kernel"": {""m2rnn"": ""metal_kernel_fwd_v1"", ""mamba3_mimo"": ""metal_kernel_fwd_v1"", ""sparse_mla"": ""sparse_mla_fp8_reference_path_b""}, ""path_counts"": {""path_b"": 256}}","{""fp8_path_c_route_status"": ""not_requested"", ""kernel_surface_available"": true, ""path"": ""path_b"", ""path_c_requested"": false, ""proof_source"": ""per-kernel TileLang route receipts plus runtime dispatch log""}",ok,af7ca0e,6b87598b,d168ca5ca,0.32.0.dev20260514+d168ca5ca,/Volumes/external/sources/nanochat/.venv/bin/python scripts/m04_train_step.py --model-profile local_gb10_quarter --data-path data/parquet_samples/gb10/clang_semantic_4k_v10/val_00000.parquet --data-format parquet --token-key token_ids --steps 20 --batch-size 1 --seq-len 2048 --dtype fp8_path_b --optimizer adam8bit --optimizer-quant-scheme dynamic_int8_v1 --lr 1e-4 --grad-checkpoint --output /Users/dave/sources/cppmega.mlx/reports/profiling/venv_fixed_8bit_matrix_cells/fp8_adam8bit_path_b.json --json,/Users/dave/sources/cppmega.mlx/reports/profiling/venv_fixed_8bit_matrix_cells/fp8_adam8bit_path_b.json,0,108.5052472089883
fp8_adam8bit_path_c_cold,fp8,adam8bit,path_c_cold,ok,adam8bit,adam8bit,Adam8bit,cppmega_mlx.training.optimizers_quantized.Adam8bit,cppmega_mlx.training.optimizers_quantized.make_adam8bit,20,46.045028708002064,3.099458291006158,613.036899557845,3.1942362630522294,46.045028708002064,52.756482851691544,6.897862434387207,0.0,False,"{""kernel_counts"": {""path_c_tilelang_dsl_fwd_path_b_bwd"": 110, ""path_c_tilelang_dsl_packed_post"": 36, ""tilelang_fp8_prepared_path_c_fwd"": 110}, ""op_kernel"": {""m2rnn"": ""path_c_tilelang_dsl_packed_post"", ""mamba3_mimo"": ""path_c_tilelang_dsl_fwd_path_b_bwd"", ""sparse_mla"": ""tilelang_fp8_prepared_path_c_fwd""}, ""path_counts"": {""path_c"": 256}}","{""fp8_path_c_route_status"": ""m04_path_c_training_route_available"", ""kernel_surface_available"": true, ""path"": ""path_c_cold"", ""path_c_requested"": true, ""proof_source"": ""per-kernel TileLang route receipts plus runtime dispatch log""}",ok,af7ca0e,6b87598b,d168ca5ca,0.32.0.dev20260514+d168ca5ca,/Volumes/external/sources/nanochat/.venv/bin/python scripts/m04_train_step.py --model-profile local_gb10_quarter --data-path data/parquet_samples/gb10/clang_semantic_4k_v10/val_00000.parquet --data-format parquet --token-key token_ids --steps 20 --batch-size 1 --seq-len 2048 --dtype fp8_path_c --optimizer adam8bit --optimizer-quant-scheme dynamic_int8_v1 --lr 1e-4 --grad-checkpoint --output /Users/dave/sources/cppmega.mlx/reports/profiling/venv_fixed_8bit_matrix_cells/fp8_adam8bit_path_c_cold.json --json,/Users/dave/sources/cppmega.mlx/reports/profiling/venv_fixed_8bit_matrix_cells/fp8_adam8bit_path_c_cold.json,0,169.90868779200537
fp8_adam8bit_path_c_warm,fp8,adam8bit,path_c_warm,ok,adam8bit,adam8bit,Adam8bit,cppmega_mlx.training.optimizers_quantized.Adam8bit,cppmega_mlx.training.optimizers_quantized.make_adam8bit,20,14.203372999996645,3.081857041994226,635.7315631130216,3.095032701842444,14.203372999996645,52.756482851691544,6.897862434387207,0.0,True,"{""kernel_counts"": {""path_c_tilelang_dsl_fwd_path_b_bwd"": 110, ""path_c_tilelang_dsl_packed_post"": 36, ""tilelang_fp8_prepared_path_c_fwd"": 110}, ""op_kernel"": {""m2rnn"": ""path_c_tilelang_dsl_packed_post"", ""mamba3_mimo"": ""path_c_tilelang_dsl_fwd_path_b_bwd"", ""sparse_mla"": ""tilelang_fp8_prepared_path_c_fwd""}, ""path_counts"": {""path_c"": 256}}","{""fp8_path_c_route_status"": ""m04_path_c_training_route_available"", ""kernel_surface_available"": true, ""path"": ""path_c_warm"", ""path_c_requested"": true, ""proof_source"": ""per-kernel TileLang route receipts plus runtime dispatch log""}",ok,af7ca0e,6b87598b,d168ca5ca,0.32.0.dev20260514+d168ca5ca,/Volumes/external/sources/nanochat/.venv/bin/python scripts/m04_train_step.py --model-profile local_gb10_quarter --data-path data/parquet_samples/gb10/clang_semantic_4k_v10/val_00000.parquet --data-format parquet --token-key token_ids --steps 20 --batch-size 1 --seq-len 2048 --dtype fp8_path_c --optimizer adam8bit --optimizer-quant-scheme dynamic_int8_v1 --lr 1e-4 --grad-checkpoint --output /Users/dave/sources/cppmega.mlx/reports/profiling/venv_fixed_8bit_matrix_cells/fp8_adam8bit_path_c_warm.json --json,/Users/dave/sources/cppmega.mlx/reports/profiling/venv_fixed_8bit_matrix_cells/fp8_adam8bit_path_c_warm.json,0,133.0721612500056
fp8_lion8bit_path_b,fp8,lion8bit,path_b,ok,lion8bit,lion8bit,Lion8bit,cppmega_mlx.training.optimizers_quantized.Lion8bit,cppmega_mlx.training.optimizers_quantized.make_lion8bit,20,2.2723705420066835,2.0898568340053316,973.4376870363958,2.0961698092639716,2.2723705420066835,20.138214718550444,5.157949950546026,35.02998882159591,,"{""kernel_counts"": {""metal_kernel_fwd_v1"": 146, ""sparse_mla_fp8_reference_path_b"": 110}, ""op_kernel"": {""m2rnn"": ""metal_kernel_fwd_v1"", ""mamba3_mimo"": ""metal_kernel_fwd_v1"", ""sparse_mla"": ""sparse_mla_fp8_reference_path_b""}, ""path_counts"": {""path_b"": 256}}","{""fp8_path_c_route_status"": ""not_requested"", ""kernel_surface_available"": true, ""path"": ""path_b"", ""path_c_requested"": false, ""proof_source"": ""per-kernel TileLang route receipts plus runtime dispatch log""}",ok,af7ca0e,6b87598b,d168ca5ca,0.32.0.dev20260514+d168ca5ca,/Volumes/external/sources/nanochat/.venv/bin/python scripts/m04_train_step.py --model-profile local_gb10_quarter --data-path data/parquet_samples/gb10/clang_semantic_4k_v10/val_00000.parquet --data-format parquet --token-key token_ids --steps 20 --batch-size 1 --seq-len 2048 --dtype fp8_path_b --optimizer lion8bit --optimizer-quant-scheme dynamic_int8_v1 --lr 1e-4 --grad-checkpoint --output /Users/dave/sources/cppmega.mlx/reports/profiling/venv_fixed_8bit_matrix_cells/fp8_lion8bit_path_b.json --json,/Users/dave/sources/cppmega.mlx/reports/profiling/venv_fixed_8bit_matrix_cells/fp8_lion8bit_path_b.json,0,102.49933762499131
