case_id,dtype,optimizer,path,status,cli_optimizer,optimizer_key,optimizer_name,optimizer_class,optimizer_source,steps_completed,first_step_sec,median_step_sec,tok_sec,step_sec,compile_time_s,peak_memory_gb,active_memory_gb,cache_memory_gb,cache_hit,selected_schedule,proof_result,pass_fail_reason,cppmega_sha,tilelang_sha,mlx_sha,mlx_version,command,receipt_path,returncode,duration_s
bf16_adamw_path_b,bf16,adamw,path_b,ok,adamw,adamw,AdamW,cppmega_mlx.training.optimizers.AdamWFP32Moments,cppmega_mlx.training.optimizers.make_adamw,20,8.673310875004972,7.010761249999632,393.5239394174156,6.591897423212159,8.673310875004972,29.14189625531435,17.090503837913275,33.93797208741307,,"{""kernel_counts"": {""metal_kernel_fwd_v1"": 160}, ""op_kernel"": {""m2rnn"": ""metal_kernel_fwd_v1"", ""mamba3_mimo"": ""metal_kernel_fwd_v1""}, ""path_counts"": {""path_b"": 160}}","{""fp8_path_c_route_status"": ""not_requested"", ""kernel_surface_available"": true, ""path"": ""path_b"", ""path_c_requested"": false, ""proof_source"": ""per-kernel TileLang route receipts plus runtime dispatch log""}",ok,d0145dc,6b87598b,d168ca5ca,0.32.0.dev20260514+d168ca5ca,/Volumes/external/sources/nanochat/.venv/bin/python scripts/m04_train_step.py --model-profile local_gb10_quarter --data-path data/parquet_samples/gb10/clang_semantic_4k_v10/val_00000.parquet --data-format parquet --token-key token_ids --steps 20 --batch-size 1 --seq-len 2048 --dtype bfloat16 --optimizer adamw --optimizer-quant-scheme dynamic_int8_v1 --lr 1e-4 --grad-checkpoint --output reports/raw/cppmega_1b_path_matrix_cells_20260517_fixed/bf16_adamw_path_b.json --json,reports/raw/cppmega_1b_path_matrix_cells_20260517_fixed/bf16_adamw_path_b.json,0,0.0
bf16_adamw_path_c_cold,bf16,adamw,path_c_cold,ok,adamw,adamw,AdamW,cppmega_mlx.training.optimizers.AdamWFP32Moments,cppmega_mlx.training.optimizers.make_adamw,20,22.140538333012955,4.914217333003762,391.9226295081021,5.041544758842639,22.140538333012955,33.747842900455,17.09046784043312,0.0,False,"{""kernel_counts"": {""path_c_tilelang_dsl_fwd_path_b_bwd"": 120, ""path_c_tilelang_dsl_packed_post"": 40}, ""op_kernel"": {""m2rnn"": ""path_c_tilelang_dsl_packed_post"", ""mamba3_mimo"": ""path_c_tilelang_dsl_fwd_path_b_bwd""}, ""path_counts"": {""path_c"": 160}}","{""fp8_path_c_route_status"": ""not_requested"", ""kernel_surface_available"": true, ""path"": ""path_c_cold"", ""path_c_requested"": true, ""proof_source"": ""per-kernel TileLang route receipts plus runtime dispatch log""}",ok,d0145dc,6b87598b,d168ca5ca,0.32.0.dev20260514+d168ca5ca,/Volumes/external/sources/nanochat/.venv/bin/python scripts/m04_train_step.py --model-profile local_gb10_quarter --data-path data/parquet_samples/gb10/clang_semantic_4k_v10/val_00000.parquet --data-format parquet --token-key token_ids --steps 20 --batch-size 1 --seq-len 2048 --dtype bfloat16 --optimizer adamw --optimizer-quant-scheme dynamic_int8_v1 --lr 1e-4 --grad-checkpoint --output reports/raw/cppmega_1b_path_matrix_cells_20260517_fixed/bf16_adamw_path_c_cold.json --json,reports/raw/cppmega_1b_path_matrix_cells_20260517_fixed/bf16_adamw_path_c_cold.json,0,0.0
bf16_adamw_path_c_warm,bf16,adamw,path_c_warm,ok,adamw,adamw,AdamW,cppmega_mlx.training.optimizers.AdamWFP32Moments,cppmega_mlx.training.optimizers.make_adamw,20,13.010616667001159,4.882841874990845,405.6124890034167,4.8897935570513305,13.010616667001159,33.747842900455,17.09046784043312,0.0,True,"{""kernel_counts"": {""path_c_tilelang_dsl_fwd_path_b_bwd"": 120, ""path_c_tilelang_dsl_packed_post"": 40}, ""op_kernel"": {""m2rnn"": ""path_c_tilelang_dsl_packed_post"", ""mamba3_mimo"": ""path_c_tilelang_dsl_fwd_path_b_bwd""}, ""path_counts"": {""path_c"": 160}}","{""fp8_path_c_route_status"": ""not_requested"", ""kernel_surface_available"": true, ""path"": ""path_c_warm"", ""path_c_requested"": true, ""proof_source"": ""per-kernel TileLang route receipts plus runtime dispatch log""}",ok,d0145dc,6b87598b,d168ca5ca,0.32.0.dev20260514+d168ca5ca,/Volumes/external/sources/nanochat/.venv/bin/python scripts/m04_train_step.py --model-profile local_gb10_quarter --data-path data/parquet_samples/gb10/clang_semantic_4k_v10/val_00000.parquet --data-format parquet --token-key token_ids --steps 20 --batch-size 1 --seq-len 2048 --dtype bfloat16 --optimizer adamw --optimizer-quant-scheme dynamic_int8_v1 --lr 1e-4 --grad-checkpoint --output reports/raw/cppmega_1b_path_matrix_cells_20260517_fixed/bf16_adamw_path_c_warm.json --json,reports/raw/cppmega_1b_path_matrix_cells_20260517_fixed/bf16_adamw_path_c_warm.json,0,0.0
bf16_adam8bit_path_b,bf16,adam8bit,path_b,ok,adam8bit,adam8bit,Adam8bit,cppmega_mlx.training.optimizers_quantized.Adam8bit,cppmega_mlx.training.optimizers_quantized.make_adam8bit,20,2.3137723749969155,2.1615624580008443,948.0913928965062,2.152163864052885,2.3137723749969155,21.044496081769466,6.897970341145992,31.872863171622157,,"{""kernel_counts"": {""metal_kernel_fwd_v1"": 160}, ""op_kernel"": {""m2rnn"": ""metal_kernel_fwd_v1"", ""mamba3_mimo"": ""metal_kernel_fwd_v1""}, ""path_counts"": {""path_b"": 160}}","{""fp8_path_c_route_status"": ""not_requested"", ""kernel_surface_available"": true, ""path"": ""path_b"", ""path_c_requested"": false, ""proof_source"": ""per-kernel TileLang route receipts plus runtime dispatch log""}",ok,d0145dc,6b87598b,d168ca5ca,0.32.0.dev20260514+d168ca5ca,/Volumes/external/sources/nanochat/.venv/bin/python scripts/m04_train_step.py --model-profile local_gb10_quarter --data-path data/parquet_samples/gb10/clang_semantic_4k_v10/val_00000.parquet --data-format parquet --token-key token_ids --steps 20 --batch-size 1 --seq-len 2048 --dtype bfloat16 --optimizer adam8bit --optimizer-quant-scheme dynamic_int8_v1 --lr 1e-4 --grad-checkpoint --output reports/raw/cppmega_1b_path_matrix_cells_20260517_fixed/bf16_adam8bit_path_b.json --json,reports/raw/cppmega_1b_path_matrix_cells_20260517_fixed/bf16_adam8bit_path_b.json,0,0.0
bf16_adam8bit_path_c_cold,bf16,adam8bit,path_c_cold,ok,adam8bit,adam8bit,Adam8bit,cppmega_mlx.training.optimizers_quantized.Adam8bit,cppmega_mlx.training.optimizers_quantized.make_adam8bit,20,21.14812100000563,3.8055255000072066,511.3167477900394,3.842351649055337,21.14812100000563,23.555237494409084,6.897862434387207,0.0,False,"{""kernel_counts"": {""path_c_tilelang_dsl_fwd_path_b_bwd"": 120, ""path_c_tilelang_dsl_packed_post"": 40}, ""op_kernel"": {""m2rnn"": ""path_c_tilelang_dsl_packed_post"", ""mamba3_mimo"": ""path_c_tilelang_dsl_fwd_path_b_bwd""}, ""path_counts"": {""path_c"": 160}}","{""fp8_path_c_route_status"": ""not_requested"", ""kernel_surface_available"": true, ""path"": ""path_c_cold"", ""path_c_requested"": true, ""proof_source"": ""per-kernel TileLang route receipts plus runtime dispatch log""}",ok,d0145dc,6b87598b,d168ca5ca,0.32.0.dev20260514+d168ca5ca,/Volumes/external/sources/nanochat/.venv/bin/python scripts/m04_train_step.py --model-profile local_gb10_quarter --data-path data/parquet_samples/gb10/clang_semantic_4k_v10/val_00000.parquet --data-format parquet --token-key token_ids --steps 20 --batch-size 1 --seq-len 2048 --dtype bfloat16 --optimizer adam8bit --optimizer-quant-scheme dynamic_int8_v1 --lr 1e-4 --grad-checkpoint --output reports/raw/cppmega_1b_path_matrix_cells_20260517_fixed/bf16_adam8bit_path_c_cold.json --json,reports/raw/cppmega_1b_path_matrix_cells_20260517_fixed/bf16_adam8bit_path_c_cold.json,0,0.0
bf16_adam8bit_path_c_warm,bf16,adam8bit,path_c_warm,ok,adam8bit,adam8bit,Adam8bit,cppmega_mlx.training.optimizers_quantized.Adam8bit,cppmega_mlx.training.optimizers_quantized.make_adam8bit,20,12.072549666991108,3.8002089580113534,519.2369238929132,3.8077064625264794,12.072549666991108,23.555237494409084,6.897862434387207,0.0,True,"{""kernel_counts"": {""path_c_tilelang_dsl_fwd_path_b_bwd"": 120, ""path_c_tilelang_dsl_packed_post"": 40}, ""op_kernel"": {""m2rnn"": ""path_c_tilelang_dsl_packed_post"", ""mamba3_mimo"": ""path_c_tilelang_dsl_fwd_path_b_bwd""}, ""path_counts"": {""path_c"": 160}}","{""fp8_path_c_route_status"": ""not_requested"", ""kernel_surface_available"": true, ""path"": ""path_c_warm"", ""path_c_requested"": true, ""proof_source"": ""per-kernel TileLang route receipts plus runtime dispatch log""}",ok,d0145dc,6b87598b,d168ca5ca,0.32.0.dev20260514+d168ca5ca,/Volumes/external/sources/nanochat/.venv/bin/python scripts/m04_train_step.py --model-profile local_gb10_quarter --data-path data/parquet_samples/gb10/clang_semantic_4k_v10/val_00000.parquet --data-format parquet --token-key token_ids --steps 20 --batch-size 1 --seq-len 2048 --dtype bfloat16 --optimizer adam8bit --optimizer-quant-scheme dynamic_int8_v1 --lr 1e-4 --grad-checkpoint --output reports/raw/cppmega_1b_path_matrix_cells_20260517_fixed/bf16_adam8bit_path_c_warm.json --json,reports/raw/cppmega_1b_path_matrix_cells_20260517_fixed/bf16_adam8bit_path_c_warm.json,0,0.0
bf16_lion_path_b,bf16,lion,path_b,ok,lion,lion,Lion,cppmega_mlx.training.optimizers.LionFP32Moments,cppmega_mlx.training.optimizers.make_lion,20,4.329915542009985,7.762554250002722,278.9965909739924,7.838974026368784,4.329915542009985,33.513735610991716,10.254422707483172,41.9062117729336,,"{""kernel_counts"": {""metal_kernel_fwd_v1"": 160}, ""op_kernel"": {""m2rnn"": ""metal_kernel_fwd_v1"", ""mamba3_mimo"": ""metal_kernel_fwd_v1""}, ""path_counts"": {""path_b"": 160}}","{""fp8_path_c_route_status"": ""not_requested"", ""kernel_surface_available"": true, ""path"": ""path_b"", ""path_c_requested"": false, ""proof_source"": ""per-kernel TileLang route receipts plus runtime dispatch log""}",ok,d0145dc,6b87598b,d168ca5ca,0.32.0.dev20260514+d168ca5ca,/Volumes/external/sources/nanochat/.venv/bin/python scripts/m04_train_step.py --model-profile local_gb10_quarter --data-path data/parquet_samples/gb10/clang_semantic_4k_v10/val_00000.parquet --data-format parquet --token-key token_ids --steps 20 --batch-size 1 --seq-len 2048 --dtype bfloat16 --optimizer lion --optimizer-quant-scheme dynamic_int8_v1 --lr 1e-4 --grad-checkpoint --output reports/raw/cppmega_1b_path_matrix_cells_20260517_fixed/bf16_lion_path_b.json --json,reports/raw/cppmega_1b_path_matrix_cells_20260517_fixed/bf16_lion_path_b.json,0,0.0
bf16_lion_path_c_cold,bf16,lion,path_c_cold,ok,lion,lion,Lion,cppmega_mlx.training.optimizers.LionFP32Moments,cppmega_mlx.training.optimizers.make_lion,20,21.628362791991094,4.505288832995575,435.64470901189424,4.512980335421162,21.628362791991094,33.51692464761436,10.25429903715849,0.0,False,"{""kernel_counts"": {""path_c_tilelang_dsl_fwd_path_b_bwd"": 120, ""path_c_tilelang_dsl_packed_post"": 40}, ""op_kernel"": {""m2rnn"": ""path_c_tilelang_dsl_packed_post"", ""mamba3_mimo"": ""path_c_tilelang_dsl_fwd_path_b_bwd""}, ""path_counts"": {""path_c"": 160}}","{""fp8_path_c_route_status"": ""not_requested"", ""kernel_surface_available"": true, ""path"": ""path_c_cold"", ""path_c_requested"": true, ""proof_source"": ""per-kernel TileLang route receipts plus runtime dispatch log""}",ok,d0145dc,6b87598b,d168ca5ca,0.32.0.dev20260514+d168ca5ca,/Volumes/external/sources/nanochat/.venv/bin/python scripts/m04_train_step.py --model-profile local_gb10_quarter --data-path data/parquet_samples/gb10/clang_semantic_4k_v10/val_00000.parquet --data-format parquet --token-key token_ids --steps 20 --batch-size 1 --seq-len 2048 --dtype bfloat16 --optimizer lion --optimizer-quant-scheme dynamic_int8_v1 --lr 1e-4 --grad-checkpoint --output reports/raw/cppmega_1b_path_matrix_cells_20260517_fixed/bf16_lion_path_c_cold.json --json,reports/raw/cppmega_1b_path_matrix_cells_20260517_fixed/bf16_lion_path_c_cold.json,0,0.0
bf16_lion_path_c_warm,bf16,lion,path_c_warm,ok,lion,lion,Lion,cppmega_mlx.training.optimizers.LionFP32Moments,cppmega_mlx.training.optimizers.make_lion,20,12.760485999999219,4.525549208003213,437.8416682276099,4.52440498689401,12.760485999999219,33.51692464761436,10.25429903715849,0.0,True,"{""kernel_counts"": {""path_c_tilelang_dsl_fwd_path_b_bwd"": 120, ""path_c_tilelang_dsl_packed_post"": 40}, ""op_kernel"": {""m2rnn"": ""path_c_tilelang_dsl_packed_post"", ""mamba3_mimo"": ""path_c_tilelang_dsl_fwd_path_b_bwd""}, ""path_counts"": {""path_c"": 160}}","{""fp8_path_c_route_status"": ""not_requested"", ""kernel_surface_available"": true, ""path"": ""path_c_warm"", ""path_c_requested"": true, ""proof_source"": ""per-kernel TileLang route receipts plus runtime dispatch log""}",ok,d0145dc,6b87598b,d168ca5ca,0.32.0.dev20260514+d168ca5ca,/Volumes/external/sources/nanochat/.venv/bin/python scripts/m04_train_step.py --model-profile local_gb10_quarter --data-path data/parquet_samples/gb10/clang_semantic_4k_v10/val_00000.parquet --data-format parquet --token-key token_ids --steps 20 --batch-size 1 --seq-len 2048 --dtype bfloat16 --optimizer lion --optimizer-quant-scheme dynamic_int8_v1 --lr 1e-4 --grad-checkpoint --output reports/raw/cppmega_1b_path_matrix_cells_20260517_fixed/bf16_lion_path_c_warm.json --json,reports/raw/cppmega_1b_path_matrix_cells_20260517_fixed/bf16_lion_path_c_warm.json,0,0.0
bf16_lion8bit_path_b,bf16,lion8bit,path_b,ok,lion8bit,lion8bit,Lion8bit,cppmega_mlx.training.optimizers_quantized.Lion8bit,cppmega_mlx.training.optimizers_quantized.make_lion8bit,20,2.3130165000038687,2.0707066250033677,975.5957909658825,2.0888034472101076,2.3130165000038687,19.26853071898222,5.157878050580621,31.266647711396217,,"{""kernel_counts"": {""metal_kernel_fwd_v1"": 160}, ""op_kernel"": {""m2rnn"": ""metal_kernel_fwd_v1"", ""mamba3_mimo"": ""metal_kernel_fwd_v1""}, ""path_counts"": {""path_b"": 160}}","{""fp8_path_c_route_status"": ""not_requested"", ""kernel_surface_available"": true, ""path"": ""path_b"", ""path_c_requested"": false, ""proof_source"": ""per-kernel TileLang route receipts plus runtime dispatch log""}",ok,d0145dc,6b87598b,d168ca5ca,0.32.0.dev20260514+d168ca5ca,/Volumes/external/sources/nanochat/.venv/bin/python scripts/m04_train_step.py --model-profile local_gb10_quarter --data-path data/parquet_samples/gb10/clang_semantic_4k_v10/val_00000.parquet --data-format parquet --token-key token_ids --steps 20 --batch-size 1 --seq-len 2048 --dtype bfloat16 --optimizer lion8bit --optimizer-quant-scheme dynamic_int8_v1 --lr 1e-4 --grad-checkpoint --output reports/raw/cppmega_1b_path_matrix_cells_20260517_fixed/bf16_lion8bit_path_b.json --json,reports/raw/cppmega_1b_path_matrix_cells_20260517_fixed/bf16_lion8bit_path_b.json,0,0.0
