case_id,dtype,optimizer,path,status,cli_optimizer,optimizer_key,optimizer_name,optimizer_class,optimizer_source,steps_completed,first_step_sec,median_step_sec,tok_sec,step_sec,compile_time_s,peak_memory_gb,active_memory_gb,cache_memory_gb,cache_hit,selected_schedule,proof_result,pass_fail_reason,cppmega_sha,tilelang_sha,mlx_sha,mlx_version,command,receipt_path,returncode,duration_s
bf16_adamw_path_b,bf16,adamw,path_b,ok,adamw,adamw,AdamW,cppmega_mlx.training.optimizers.AdamWFP32Moments,cppmega_mlx.training.optimizers.make_adamw,20,7.473842625011457,12.579292832990177,168.9833260860302,12.550561465001298,7.473842625011457,29.14189625531435,17.09050288796425,33.937971130013466,,"{""kernel_counts"": {""metal_kernel_fwd_v1"": 160}, ""op_kernel"": {""m2rnn"": ""metal_kernel_fwd_v1"", ""mamba3_mimo"": ""metal_kernel_fwd_v1""}, ""path_counts"": {""path_b"": 160}}","{""fp8_path_c_route_status"": ""not_requested"", ""kernel_surface_available"": true, ""path"": ""path_b"", ""path_c_requested"": false, ""proof_source"": ""per-kernel TileLang route receipts plus runtime dispatch log""}",ok,f0390c5,6c37b335,d168ca5ca,0.32.0.dev20260514+d168ca5ca,/Volumes/external/sources/nanochat/.venv/bin/python scripts/m04_train_step.py --model-profile local_gb10_quarter --data-path data/parquet_samples/gb10/clang_semantic_4k_v10/val_00000.parquet --data-format parquet --token-key token_ids --steps 20 --batch-size 1 --seq-len 2048 --dtype bfloat16 --optimizer adamw --optimizer-quant-scheme dynamic_int8_v1 --lr 1e-4 --grad-checkpoint --output /Volumes/external/sources/cppmega.mlx/reports/raw/cppmega_1b_path_matrix_cells_20260518_full_path_c_f0390c5_pinned/bf16_adamw_path_b.json --json,/Volumes/external/sources/cppmega.mlx/reports/raw/cppmega_1b_path_matrix_cells_20260518_full_path_c_f0390c5_pinned/bf16_adamw_path_b.json,0,338.46788337500766
bf16_adamw_path_c_cold,bf16,adamw,path_c_cold,ok,adamw,adamw,AdamW,cppmega_mlx.training.optimizers.AdamWFP32Moments,cppmega_mlx.training.optimizers.make_adamw,20,27.676608792011393,3.6006094579934143,541.7356882143238,3.615786989000442,27.676608792011393,33.747842900455,17.09046784043312,0.0,False,"{""kernel_counts"": {""path_c_tilelang_dsl"": 120, ""path_c_tilelang_dsl_packed_post"": 40}, ""op_kernel"": {""m2rnn"": ""path_c_tilelang_dsl_packed_post"", ""mamba3_mimo"": ""path_c_tilelang_dsl""}, ""path_counts"": {""path_c"": 160}}","{""fp8_path_c_route_status"": ""not_requested"", ""kernel_surface_available"": true, ""path"": ""path_c_cold"", ""path_c_requested"": true, ""proof_source"": ""per-kernel TileLang route receipts plus runtime dispatch log""}",ok,f0390c5,6c37b335,d168ca5ca,0.32.0.dev20260514+d168ca5ca,/Volumes/external/sources/nanochat/.venv/bin/python scripts/m04_train_step.py --model-profile local_gb10_quarter --data-path data/parquet_samples/gb10/clang_semantic_4k_v10/val_00000.parquet --data-format parquet --token-key token_ids --steps 20 --batch-size 1 --seq-len 2048 --dtype bfloat16 --optimizer adamw --optimizer-quant-scheme dynamic_int8_v1 --lr 1e-4 --grad-checkpoint --output /Volumes/external/sources/cppmega.mlx/reports/raw/cppmega_1b_path_matrix_cells_20260518_full_path_c_f0390c5_pinned/bf16_adamw_path_c_cold.json --json,/Volumes/external/sources/cppmega.mlx/reports/raw/cppmega_1b_path_matrix_cells_20260518_full_path_c_f0390c5_pinned/bf16_adamw_path_c_cold.json,0,157.42680383301922
bf16_adamw_path_c_warm,bf16,adamw,path_c_warm,ok,adamw,adamw,AdamW,cppmega_mlx.training.optimizers.AdamWFP32Moments,cppmega_mlx.training.optimizers.make_adamw,20,12.659959333017468,3.7678533339931164,525.1070845506505,3.7620361952607424,12.659959333017468,33.747842900455,17.09046784043312,0.0,True,"{""kernel_counts"": {""path_c_tilelang_dsl"": 120, ""path_c_tilelang_dsl_packed_post"": 40}, ""op_kernel"": {""m2rnn"": ""path_c_tilelang_dsl_packed_post"", ""mamba3_mimo"": ""path_c_tilelang_dsl""}, ""path_counts"": {""path_c"": 160}}","{""fp8_path_c_route_status"": ""not_requested"", ""kernel_surface_available"": true, ""path"": ""path_c_warm"", ""path_c_requested"": true, ""proof_source"": ""per-kernel TileLang route receipts plus runtime dispatch log""}",ok,f0390c5,6c37b335,d168ca5ca,0.32.0.dev20260514+d168ca5ca,/Volumes/external/sources/nanochat/.venv/bin/python scripts/m04_train_step.py --model-profile local_gb10_quarter --data-path data/parquet_samples/gb10/clang_semantic_4k_v10/val_00000.parquet --data-format parquet --token-key token_ids --steps 20 --batch-size 1 --seq-len 2048 --dtype bfloat16 --optimizer adamw --optimizer-quant-scheme dynamic_int8_v1 --lr 1e-4 --grad-checkpoint --output /Volumes/external/sources/cppmega.mlx/reports/raw/cppmega_1b_path_matrix_cells_20260518_full_path_c_f0390c5_pinned/bf16_adamw_path_c_warm.json --json,/Volumes/external/sources/cppmega.mlx/reports/raw/cppmega_1b_path_matrix_cells_20260518_full_path_c_f0390c5_pinned/bf16_adamw_path_c_warm.json,0,143.4840482090076
bf16_adam8bit_path_b,bf16,adam8bit,path_b,ok,adam8bit,adam8bit,Adam8bit,cppmega_mlx.training.optimizers_quantized.Adam8bit,cppmega_mlx.training.optimizers_quantized.make_adam8bit,20,20.36614900000859,21.577734166989103,93.35742765803678,22.136892032785045,20.36614900000859,34.13713666237891,6.898073129355907,63.540488328784704,,"{""kernel_counts"": {""metal_kernel_fwd_v1"": 160}, ""op_kernel"": {""m2rnn"": ""metal_kernel_fwd_v1"", ""mamba3_mimo"": ""metal_kernel_fwd_v1""}, ""path_counts"": {""path_b"": 160}}","{""fp8_path_c_route_status"": ""not_requested"", ""kernel_surface_available"": true, ""path"": ""path_b"", ""path_c_requested"": false, ""proof_source"": ""per-kernel TileLang route receipts plus runtime dispatch log""}",ok,f0390c5,6c37b335,d168ca5ca,0.32.0.dev20260514+d168ca5ca,/Volumes/external/sources/nanochat/.venv/bin/python scripts/m04_train_step.py --model-profile local_gb10_quarter --data-path data/parquet_samples/gb10/clang_semantic_4k_v10/val_00000.parquet --data-format parquet --token-key token_ids --steps 20 --batch-size 1 --seq-len 2048 --dtype bfloat16 --optimizer adam8bit --optimizer-quant-scheme dynamic_int8_v1 --lr 1e-4 --grad-checkpoint --output /Volumes/external/sources/cppmega.mlx/reports/raw/cppmega_1b_path_matrix_cells_20260518_full_path_c_f0390c5_pinned/bf16_adam8bit_path_b.json --json,/Volumes/external/sources/cppmega.mlx/reports/raw/cppmega_1b_path_matrix_cells_20260518_full_path_c_f0390c5_pinned/bf16_adam8bit_path_b.json,0,504.6715750829899
bf16_adam8bit_path_c_cold,bf16,adam8bit,path_c_cold,ok,adam8bit,adam8bit,Adam8bit,cppmega_mlx.training.optimizers_quantized.Adam8bit,cppmega_mlx.training.optimizers_quantized.make_adam8bit,20,41.5017937499797,17.439139999973122,112.24076069440564,17.762438738838107,41.5017937499797,33.26187417469919,6.897862434387207,0.0,False,"{""kernel_counts"": {""path_c_tilelang_dsl"": 120, ""path_c_tilelang_dsl_packed_post"": 40}, ""op_kernel"": {""m2rnn"": ""path_c_tilelang_dsl_packed_post"", ""mamba3_mimo"": ""path_c_tilelang_dsl""}, ""path_counts"": {""path_c"": 160}}","{""fp8_path_c_route_status"": ""not_requested"", ""kernel_surface_available"": true, ""path"": ""path_c_cold"", ""path_c_requested"": true, ""proof_source"": ""per-kernel TileLang route receipts plus runtime dispatch log""}",ok,f0390c5,6c37b335,d168ca5ca,0.32.0.dev20260514+d168ca5ca,/Volumes/external/sources/nanochat/.venv/bin/python scripts/m04_train_step.py --model-profile local_gb10_quarter --data-path data/parquet_samples/gb10/clang_semantic_4k_v10/val_00000.parquet --data-format parquet --token-key token_ids --steps 20 --batch-size 1 --seq-len 2048 --dtype bfloat16 --optimizer adam8bit --optimizer-quant-scheme dynamic_int8_v1 --lr 1e-4 --grad-checkpoint --output /Volumes/external/sources/cppmega.mlx/reports/raw/cppmega_1b_path_matrix_cells_20260518_full_path_c_f0390c5_pinned/bf16_adam8bit_path_c_cold.json --json,/Volumes/external/sources/cppmega.mlx/reports/raw/cppmega_1b_path_matrix_cells_20260518_full_path_c_f0390c5_pinned/bf16_adam8bit_path_c_cold.json,0,474.3083832919947
bf16_adam8bit_path_c_warm,bf16,adam8bit,path_c_warm,ok,adam8bit,adam8bit,Adam8bit,cppmega_mlx.training.optimizers_quantized.Adam8bit,cppmega_mlx.training.optimizers_quantized.make_adam8bit,20,25.912461708008777,17.531665499991504,114.89851860505112,17.53155908336875,25.912461708008777,33.26187417469919,6.897862434387207,0.0,True,"{""kernel_counts"": {""path_c_tilelang_dsl"": 120, ""path_c_tilelang_dsl_packed_post"": 40}, ""op_kernel"": {""m2rnn"": ""path_c_tilelang_dsl_packed_post"", ""mamba3_mimo"": ""path_c_tilelang_dsl""}, ""path_counts"": {""path_c"": 160}}","{""fp8_path_c_route_status"": ""not_requested"", ""kernel_surface_available"": true, ""path"": ""path_c_warm"", ""path_c_requested"": true, ""proof_source"": ""per-kernel TileLang route receipts plus runtime dispatch log""}",ok,f0390c5,6c37b335,d168ca5ca,0.32.0.dev20260514+d168ca5ca,/Volumes/external/sources/nanochat/.venv/bin/python scripts/m04_train_step.py --model-profile local_gb10_quarter --data-path data/parquet_samples/gb10/clang_semantic_4k_v10/val_00000.parquet --data-format parquet --token-key token_ids --steps 20 --batch-size 1 --seq-len 2048 --dtype bfloat16 --optimizer adam8bit --optimizer-quant-scheme dynamic_int8_v1 --lr 1e-4 --grad-checkpoint --output /Volumes/external/sources/cppmega.mlx/reports/raw/cppmega_1b_path_matrix_cells_20260518_full_path_c_f0390c5_pinned/bf16_adam8bit_path_c_warm.json --json,/Volumes/external/sources/cppmega.mlx/reports/raw/cppmega_1b_path_matrix_cells_20260518_full_path_c_f0390c5_pinned/bf16_adam8bit_path_c_warm.json,0,417.88802816701354
bf16_lion_path_b,bf16,lion,path_b,ok,lion,lion,Lion,cppmega_mlx.training.optimizers.LionFP32Moments,cppmega_mlx.training.optimizers.make_lion,20,3.099088249990018,2.590659915993456,782.6396698670958,2.5950362807412413,3.099088249990018,33.51373466104269,10.254421757534146,41.90621272288263,,"{""kernel_counts"": {""metal_kernel_fwd_v1"": 160}, ""op_kernel"": {""m2rnn"": ""metal_kernel_fwd_v1"", ""mamba3_mimo"": ""metal_kernel_fwd_v1""}, ""path_counts"": {""path_b"": 160}}","{""fp8_path_c_route_status"": ""not_requested"", ""kernel_surface_available"": true, ""path"": ""path_b"", ""path_c_requested"": false, ""proof_source"": ""per-kernel TileLang route receipts plus runtime dispatch log""}",ok,f0390c5,6c37b335,d168ca5ca,0.32.0.dev20260514+d168ca5ca,/Volumes/external/sources/nanochat/.venv/bin/python scripts/m04_train_step.py --model-profile local_gb10_quarter --data-path data/parquet_samples/gb10/clang_semantic_4k_v10/val_00000.parquet --data-format parquet --token-key token_ids --steps 20 --batch-size 1 --seq-len 2048 --dtype bfloat16 --optimizer lion --optimizer-quant-scheme dynamic_int8_v1 --lr 1e-4 --grad-checkpoint --output /Volumes/external/sources/cppmega.mlx/reports/raw/cppmega_1b_path_matrix_cells_20260518_full_path_c_f0390c5_pinned/bf16_lion_path_b.json --json,/Volumes/external/sources/cppmega.mlx/reports/raw/cppmega_1b_path_matrix_cells_20260518_full_path_c_f0390c5_pinned/bf16_lion_path_b.json,0,123.67056224998669
bf16_lion_path_c_cold,bf16,lion,path_c_cold,ok,lion,lion,Lion,cppmega_mlx.training.optimizers.LionFP32Moments,cppmega_mlx.training.optimizers.make_lion,20,25.852384875004645,3.173561208008323,616.1515504552553,3.177187440630453,25.852384875004645,26.911674097180367,10.25429903715849,0.0,False,"{""kernel_counts"": {""path_c_tilelang_dsl"": 120, ""path_c_tilelang_dsl_packed_post"": 40}, ""op_kernel"": {""m2rnn"": ""path_c_tilelang_dsl_packed_post"", ""mamba3_mimo"": ""path_c_tilelang_dsl""}, ""path_counts"": {""path_c"": 160}}","{""fp8_path_c_route_status"": ""not_requested"", ""kernel_surface_available"": true, ""path"": ""path_c_cold"", ""path_c_requested"": true, ""proof_source"": ""per-kernel TileLang route receipts plus runtime dispatch log""}",ok,f0390c5,6c37b335,d168ca5ca,0.32.0.dev20260514+d168ca5ca,/Volumes/external/sources/nanochat/.venv/bin/python scripts/m04_train_step.py --model-profile local_gb10_quarter --data-path data/parquet_samples/gb10/clang_semantic_4k_v10/val_00000.parquet --data-format parquet --token-key token_ids --steps 20 --batch-size 1 --seq-len 2048 --dtype bfloat16 --optimizer lion --optimizer-quant-scheme dynamic_int8_v1 --lr 1e-4 --grad-checkpoint --output /Volumes/external/sources/cppmega.mlx/reports/raw/cppmega_1b_path_matrix_cells_20260518_full_path_c_f0390c5_pinned/bf16_lion_path_c_cold.json --json,/Volumes/external/sources/cppmega.mlx/reports/raw/cppmega_1b_path_matrix_cells_20260518_full_path_c_f0390c5_pinned/bf16_lion_path_c_cold.json,0,145.79762883399962
bf16_lion_path_c_warm,bf16,lion,path_c_warm,ok,lion,lion,Lion,cppmega_mlx.training.optimizers.LionFP32Moments,cppmega_mlx.training.optimizers.make_lion,20,12.548151124996366,3.234530416986672,606.6595656713425,3.2499220460533826,12.548151124996366,26.911674097180367,10.25429903715849,0.0,True,"{""kernel_counts"": {""path_c_tilelang_dsl"": 120, ""path_c_tilelang_dsl_packed_post"": 40}, ""op_kernel"": {""m2rnn"": ""path_c_tilelang_dsl_packed_post"", ""mamba3_mimo"": ""path_c_tilelang_dsl""}, ""path_counts"": {""path_c"": 160}}","{""fp8_path_c_route_status"": ""not_requested"", ""kernel_surface_available"": true, ""path"": ""path_c_warm"", ""path_c_requested"": true, ""proof_source"": ""per-kernel TileLang route receipts plus runtime dispatch log""}",ok,f0390c5,6c37b335,d168ca5ca,0.32.0.dev20260514+d168ca5ca,/Volumes/external/sources/nanochat/.venv/bin/python scripts/m04_train_step.py --model-profile local_gb10_quarter --data-path data/parquet_samples/gb10/clang_semantic_4k_v10/val_00000.parquet --data-format parquet --token-key token_ids --steps 20 --batch-size 1 --seq-len 2048 --dtype bfloat16 --optimizer lion --optimizer-quant-scheme dynamic_int8_v1 --lr 1e-4 --grad-checkpoint --output /Volumes/external/sources/cppmega.mlx/reports/raw/cppmega_1b_path_matrix_cells_20260518_full_path_c_f0390c5_pinned/bf16_lion_path_c_warm.json --json,/Volumes/external/sources/cppmega.mlx/reports/raw/cppmega_1b_path_matrix_cells_20260518_full_path_c_f0390c5_pinned/bf16_lion_path_c_warm.json,0,132.71133816699148
bf16_lion8bit_path_b,bf16,lion8bit,path_b,ok,lion8bit,lion8bit,Lion8bit,cppmega_mlx.training.optimizers_quantized.Lion8bit,cppmega_mlx.training.optimizers_quantized.make_lion8bit,20,7.603443792002508,13.336000499984948,160.99006821588029,13.229695024100549,7.603443792002508,28.613678742200136,5.157838478684425,58.17699049413204,,"{""kernel_counts"": {""metal_kernel_fwd_v1"": 160}, ""op_kernel"": {""m2rnn"": ""metal_kernel_fwd_v1"", ""mamba3_mimo"": ""metal_kernel_fwd_v1""}, ""path_counts"": {""path_b"": 160}}","{""fp8_path_c_route_status"": ""not_requested"", ""kernel_surface_available"": true, ""path"": ""path_b"", ""path_c_requested"": false, ""proof_source"": ""per-kernel TileLang route receipts plus runtime dispatch log""}",ok,f0390c5,6c37b335,d168ca5ca,0.32.0.dev20260514+d168ca5ca,/Volumes/external/sources/nanochat/.venv/bin/python scripts/m04_train_step.py --model-profile local_gb10_quarter --data-path data/parquet_samples/gb10/clang_semantic_4k_v10/val_00000.parquet --data-format parquet --token-key token_ids --steps 20 --batch-size 1 --seq-len 2048 --dtype bfloat16 --optimizer lion8bit --optimizer-quant-scheme dynamic_int8_v1 --lr 1e-4 --grad-checkpoint --output /Volumes/external/sources/cppmega.mlx/reports/raw/cppmega_1b_path_matrix_cells_20260518_full_path_c_f0390c5_pinned/bf16_lion8bit_path_b.json --json,/Volumes/external/sources/cppmega.mlx/reports/raw/cppmega_1b_path_matrix_cells_20260518_full_path_c_f0390c5_pinned/bf16_lion8bit_path_b.json,0,319.64422295900295
